f_tag	f_name	f_clan_level	f_war_wins	f_war_win_streak	f_war_log_public
#9GRJ8J2R	不打部落战	20	248	1	1
#8GYUVVJR	雄霸天下2014	19	483	1	1
#9PQVLRQ	血色黄昏	19	333	4	1
#99VJC022	犯罪河岸 涅槃	19	234	0	1
#9LP2GQR0	长岛奇兵团	19	245	0	1
#89PCCPLP	未知樂園-不打部落戰85分部	19	250	1	1
#29P9CQ0G	不打部落战集中营总营。	19	253	3	1
#90P2PJQR	群狼聯盟	19	548	2	1
#2JJP0JJ	提拉米苏	19	274	2	1
#PL8VGYQG	拖进小黑屋	19	227	0	1
#92QYRYVG	War Snipers 2.5	19	266	0	1
#90JU9JLU	CN 魔多	19	259	1	1
#P8022UUG	Vatang♥	19	494	8	1
#PYQYU9JL	FF大聯盟-缘分的天空	19	253	1	1
#28LYVVQY	不打部落战、生意人@傲天	19	233	1	1
#88CC22	FF大聯盟-閃耀星霖	19	245	0	1
#8JLYVJ8V	CD深海.总盟	19	250	3	1
#9JVV8RC8	FF大聯盟-雅典娜的崛起	19	252	0	1
#8928YQJY	FF大聯盟-情定三生	19	237	1	1
#Y2C9QGJ9	九游 9011_艾梦 互刷	19	200	0	1
#2G0P29LU	桃园结义	19	330	2	1
#82P8LJPC	Israel Clan War	19	426	0	1
#LQJP089	OP桑尼号	19	249	2	1
#8CRJ2RLY	FF大聯盟-仲夏夜之星	19	256	1	1
#8RQ902UP	唐朝	19	327	1	1
#9QV0JP8V	造王者	19	359	0	1
#GYLPUQ2	刷墙党I	19	249	0	1
#8CRL8UJR	刷墙党VII	19	270	7	1
#929QGQ2C	暮色军团~新月	19	269	2	1
#92G98CQ9	FF大聯盟-海烟忆岁	19	224	1	1
#999YQQRU	坦坦威风林初丁噼里啪啦部落	19	305	0	1
#CLVPPQJ	众神的荣耀	19	270	0	1
#9G2RL28V	中国完美部落刷墙营	19	258	0	1
#2UUJCCYJ	CD深海.蝴蝶谷	19	250	0	1
#9PUJR2YV	未知樂園-不打部落戰88分部	19	254	0	1
#UQYQL0J	曾相识	19	256	0	1
#Y8L9C9RU	惜缘team VIII完美世界	19	235	1	1
#PRY928J	超级部落s(总部）	19	238	0	1
#PLJ8L988	完美	19	237	0	1
#9RPYPC9J	FF大聯盟-心灵之光	19	246	0	1
#29CVQUYP	井冈山^O^	19	316	0	1
#20YCCCPC	大胡子联盟	19	254	0	1
#QR9YQLU	盘古@瀚	19	271	0	1
#29UG2U28	不打部落战只做捐兵狂7部	18	260	0	1
#22UQCQPV	紫雲閣II	18	256	0	1
#L9RRUU2V	九游9011-火凤凰-飘飘版	18	212	0	1
#J8CU9P9	秒捐大帝国	18	261	1	1
#9QQ2ULGG	神的自留地	18	265	0	1
#9YVLUY9Y	619基地	18	285	0	1
#L99J8VVQ	咫尺天崖(海阔天空)	18	320	5	1
